Unique_Investment_Identifier,Business_Case_ID,Agency_Name,Investment_Title,Project_ID,Project_Name,Project_Description,Start_Date,Completion_Date_(B1),Planned_Project_Completion_Date_(B2),Projected/Actual_Project_Completion_Date_(B2),Lifecycle_Cost,Schedule_Variance_(in_days),Schedule_Variance_percentage,Cost_Variance_($M),Cost_Variance_percentage,Planned_Cost_($M),Projected/Actual_Cost_($M),Updated_Date,Updated_Time
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,314,FY11 Reporting Strategy Business Objects,,,,,,,-336,-123.53,0,0,1.5,1.5,19/01/2012,09:52:49
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,315,FY11 Enterprise Service Business,,,,,,,0,0,0,0,0.25,0.25,02/11/2011,10:27:07
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,316,FY11 Testing Support,,,,,,,0,0,0.084,12.28,0.684,0.6,02/11/2011,10:27:07
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,317,FY11 FAIM,,,,,,,0,0,0,0,0.26,0.26,02/11/2011,10:27:07
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,318,FY11 Security,,,,,,,0,0,0,0,0.475,0.475,19/06/2012,13:15:42
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,319,FY11 Pegasys upgrade,,,,,,,0,0,0.026,40,0.065,0.039,02/11/2011,10:27:07
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,320,FY11 NEAR,,,,,,,0,0,0.2,40,0.5,0.3,02/11/2011,10:27:07
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,321,FY12 BAAR Investment,,,,,,,0,0,0,0,14.718,14.718,02/11/2011,10:27:08
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,322,FY12 BAAR Refresh,,,,,,,0,0,0,0,0.75,0.75,02/11/2011,10:27:08
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,323,FY12 Reporting Strategy/Business Objects,,,,,,,0,0,0,0,1.5,1.5,02/11/2011,10:27:08
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,324,FY12 BAAR Bill Design,,,,,,,0,0,0,0,2.5,2.5,02/11/2011,10:27:08
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,325,FY12 Security,,,,,,,0,0,0,0,1,1,19/06/2012,13:15:42
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,326,FY12 Standard Acquisition Interface,,,,,,,0,0,0,0,2,2,19/01/2012,09:52:49
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,327,FY12 Quality Assurance Support,,,,,,,0,0,0,0,0.704,0.704,19/01/2012,09:52:49
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,328,FY12 Enterprise Business,,,,,,,0,0,0,0,0.25,0.25,02/11/2011,10:27:08
023-000001151,610,General Services Administration(23),GSA FMLOB Shared Service/Pegasys,329,FY12 NEAR,,,,,,,0,0,0,0,0.5,0.5,02/11/2011,10:27:08
023-000004030,611,General Services Administration(23),GSA Office of Enterprise Infrastructure,1522,OEI Transformation,,,,,,,0,0,0,0,5.9299,5.9299,30/07/2012,10:13:03
023-000001226,613,General Services Administration(23),Human Capital Information Technology Services,311,HCITS Transformation,,,,,,,-11,-1.94,0.028715,3.78,0.760537,0.731822,13/07/2012,07:56:41
023-000003040,615,General Services Administration(23),Identity Credential and Access Management (ICAM),717,Lightweight credentialing acquisition,,,,,,,0,0,0,0,0.242,0.242,11/04/2012,09:35:11
023-999990230,616,General Services Administration(23),Integrated Acquisition Environment (IAE),596,FY11 Q4 DME SAM (System for Award Management),,,,,,,0,0,-0.109661,-2.05,5.34416,5.453821,10/11/2011,09:23:42
023-999990230,616,General Services Administration(23),Integrated Acquisition Environment (IAE),2849,FY12 DME SAM  (System for Award Management),,,,,,,-94,-26.04,0.230625,1.48,15.567753,15.337128,13/07/2012,07:40:32
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2862,AAS CAB Enhancements,,,,,,,31,12.76,-0.015,-6.61,0.227,0.242,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2863,Clause Manual Integration (CMI),,,,,,,0,0,0,0,0.5,0.5,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2864,EFM Phase III,,,,,,,0,0,0,0,0.75,0.75,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2865,GWAC CAB Enhancements,,,,,,,0,0,-0.002,-0.88,0.227,0.229,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2866,RBA/NBA Consolidation,,,,,,,0,0,-0.01,-0.57,1.75,1.76,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2867,Strategic Direction Implementation (SDI),,,,,,,0,0,0,0,0.5,0.5,30/07/2012,11:41:51
023-000001060,620,General Services Administration(23),Regional Business Application (RBA),2868,Webservice over BPMS,,,,,,,0,0,0,0,0.5,0.5,30/07/2012,11:41:51
023-000004190,622,General Services Administration(23),IT Dashboard,362,FY11 fund FY12 Host IT Dashboard,,,,,,,-244,-268.13,0,0,0.0375,0.0375,31/05/2012,11:10:59
023-000004190,622,General Services Administration(23),IT Dashboard,363,FY12 Host IT Dashboard,,,,,,,0,0,0,0,0.3,0.3,31/05/2012,11:10:59
023-000001290,623,General Services Administration(23),eLease,357,eLease,,,,,,,0,0,0.090648,8.16,1.111,1.020352,30/07/2012,10:13:29
023-000001290,623,General Services Administration(23),eLease,358,REXUS Integration,,,,,,,-31,-5.64,0.016579,1.96,0.845544,0.828965,30/07/2012,10:13:29
023-000001290,623,General Services Administration(23),eLease,359,Oracle 11g,,,,,,,0,0,0.012269,1.05,1.169731,1.157462,30/07/2012,10:13:29
023-000001290,623,General Services Administration(23),eLease,360,eTMP Database,,,,,,,-1,-0.94,0.003161,2.02,0.156647,0.153486,31/10/2011,09:50:19
023-000001290,623,General Services Administration(23),eLease,361,Delegate,,,,,,,-270,-337.5,0,0,0.07961,0.07961,19/01/2012,09:52:53
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2850,ICR Dashboard,,,,,,,0,0,0,0,0.102,0.102,22/02/2012,11:40:00
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2851,Agenda File Submission Conversion,,,,,,,0,0,0,0,0.105,0.105,22/02/2012,10:40:39
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2852,Common Forms - Phase II,,,,,,,-183,-60,0,0,0.351,0.351,22/02/2012,10:40:39
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2853,Common Forms - Phase III,,,,,,,-31,-8.49,0,0,0.367,0.367,10/04/2012,13:24:15
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2854,ROCIS GUI Upgrade - Phase I,,,,,,,-31,-9.28,0,0,0.2,0.2,13/07/2012,07:40:33
023-000004130,634,General Services Administration(23),Regulatory Information Service Center (ROCIS II),2855,EO Meeting Support,,,,,,,-31,-8.49,0,0,0.1997,0.1997,10/04/2012,13:24:15
023-000003319,893,General Services Administration(23),Enterprise Acquisition System (EAS),1512,FY12 DME: Service Schedules,,,,,,,0,0,0,0,3.0701,3.0701,29/02/2012,10:08:25
023-000003319,893,General Services Administration(23),Enterprise Acquisition System (EAS),1513,FY12 DME: EAS Product Schedules - Iteration 1,,,,,,,0,0,0,0,1.887375,1.887375,29/02/2012,10:08:25
023-000004070,945,General Services Administration(23),USA.gov Citizen Services,366,FY12 USA.gov,,,,,,,0,0,0,0,11.258,11.258,31/05/2012,11:11:11
023-000004210,1030,General Services Administration(23),Real Estate Across the US (REXUS),581,REXUS,,,,,,,-27,-6.84,0,0,5.26133,5.26133,07/08/2012,05:53:30
023-000004200,1100,General Services Administration(23),Performance Dashboards,364,FY11 funding in FY12 Hosting,,,,,,,0,0,0,0,0.1125,0.1125,22/02/2012,09:22:07
023-000004200,1100,General Services Administration(23),Performance Dashboards,365,FY12 Performance Hosting,,,,,,,0,0,0,0,1.03333,1.03333,31/05/2012,11:11:03
023-000003303,1101,General Services Administration(23),USAspending.gov,465,FY 12,,,,,,,0,0,-0.036109,-7.69,0.469411,0.50552,18/06/2012,09:47:22
024-000009102,134,Department of Homeland Security(24),A&O - Homeland Security Information Network (HSIN),290,HSIN 3.0 DME,,,,,,,0,0,-0.012,-0.05,22.342,22.354,22/08/2012,04:14:13
024-000009102,134,Department of Homeland Security(24),A&O - Homeland Security Information Network (HSIN),291,HS SLIC Consolidation,,,,,,,29,11.84,0,0,1.6,1.6,27/04/2012,06:09:00
024-000009102,134,Department of Homeland Security(24),A&O - Homeland Security Information Network (HSIN),292,Two Factor Authentication in Legacy,,,,,,,0,0,0.158,50.48,0.313,0.155,24/02/2012,14:10:03
024-000009104,135,Department of Homeland Security(24),A&O - Common Operational Picture (COP),1644,DHS COP Infrastructure deployment @ DHS Data Center 2,,,,,,,1,0.41,-0.095,-19,0.5,0.595,30/04/2012,09:25:20
024-000009104,135,Department of Homeland Security(24),A&O - Common Operational Picture (COP),1645,DHS COP enhanced functionality capabilities,,,,,,,-33,-106.45,0,0,0.1,0.1,30/04/2012,09:25:20
024-000005352,137,Department of Homeland Security(24),ICE - Detention and Removal Operations Modernization,250,Risk Classification Assessment (formerly CRS),,,,,,,-172,-47.12,-2.765,-105.53,2.62,5.385,22/08/2012,04:14:25
024-000005352,137,Department of Homeland Security(24),ICE - Detention and Removal Operations Modernization,251,EARM 4.0,,,,,,,6,1.58,0,0,4,4,22/08/2012,04:14:25
024-000005352,137,Department of Homeland Security(24),ICE - Detention and Removal Operations Modernization,252,EARM 3.0 Release 2,,,,,,,73,26.74,0,0,2,2,28/03/2012,05:07:34
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),37,Data Center Services,,,,,,,0,0,0,0,10.5,10.5,24/07/2012,04:12:44
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),38,Desktop Services,,,,,,,156,42.74,-0.049,-0.91,5.4,5.449,19/08/2012,10:06:02
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),39,Email Services,,,,,,,0,0,0,0,1.562,1.562,19/08/2012,10:06:02
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),40,Network Services,,,,,,,-153,-62.96,0,0,2.294,2.294,19/08/2012,10:06:02
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),41,Single Sign-On Services,,,,,,,180,98.9,0,0,1.755,1.755,26/02/2012,07:18:12
024-000005439,138,Department of Homeland Security(24),ICE - IT Infrastructure (Atlas),42,Video Services,,,,,,,-184,-43.6,-0.226,-5.02,4.5,4.726,28/03/2012,05:07:09
024-000005536,140,Department of Homeland Security(24),ICE - Enforcement Information Sharing (EIS),50,DPICS-2- Data Pattern Information Collection System-2 (DPICS-2),,,,,,,30,12.3,0.037,4.2,0.882,0.845,20/06/2012,04:10:42
024-000005536,140,Department of Homeland Security(24),ICE - Enforcement Information Sharing (EIS),51,LEISS: Law Enforcement Information Sharing Service (LEISS),,,,,,,30,12.3,-0.039,-11.4,0.342,0.381,20/06/2012,04:10:42
024-000005397,141,Department of Homeland Security(24),ICE - DRO Electronic Health Record (EHR) System,305,eHR Acquisition & Validation Study,,,,,,,0,0,0.001,0.07,1.419,1.418,31/10/2011,05:35:31
024-000005397,141,Department of Homeland Security(24),ICE - DRO Electronic Health Record (EHR) System,306,eHR Acquisition & Deployment,,,,,,,-88,-12.15,0,0,26.859,26.859,19/08/2012,10:06:04
024-000005363,143,Department of Homeland Security(24),ICE - Student and Exchange Visitor Information System (SEVIS),18,SEVIS,,,,,,,-103,-26.08,-1.4,-17.59,7.96,9.36,24/07/2012,04:11:39
024-000005363,143,Department of Homeland Security(24),ICE - Student and Exchange Visitor Information System (SEVIS),19,SEVIS II,,,,,,,-730,-140.66,-1.509,-32.11,4.7,6.209,19/08/2012,10:05:40
024-000009508,145,Department of Homeland Security(24),NPPD - National Cybersecurity Protection System (NCPS),32,NCPS Block 2.0,,,,,,,-182,-99.45,0.47,61.04,0.77,0.3,24/07/2012,04:12:24
024-000009508,145,Department of Homeland Security(24),NPPD - National Cybersecurity Protection System (NCPS),33,NCPS Block 2.1,,,,,,,-13,-8.55,0.23,8.91,2.58,2.35,30/05/2012,04:19:12
024-000009508,145,Department of Homeland Security(24),NPPD - National Cybersecurity Protection System (NCPS),34,NCPS Block 2.2,,,,,,,0,0,0,0,15.76,15.76,26/10/2011,05:34:24
024-000009508,145,Department of Homeland Security(24),NPPD - National Cybersecurity Protection System (NCPS),35,NCPS Block 3.0,,,,,,,0,0,43.09,44.68,96.45,53.36,24/07/2012,04:12:25
024-000009508,145,Department of Homeland Security(24),NPPD - National Cybersecurity Protection System (NCPS),36,NCPS Maintenance,,,,,,,0,0,-1.506,-0.93,162.8,164.306,30/05/2012,04:19:12
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,500,Ammonium Nitrate Analysis of IT Requirements FY11 Q4 close out,,,,,,,0,0,0.027,9.44,0.286,0.259,29/02/2012,05:17:02
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,501,Case Management FY11 Q4 close out,,,,,,,0,0,0.114,7.02,1.624,1.51,29/02/2012,05:17:02
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,502,Chemical Security Assessment Tool Enhancements FY11 Q4 close out,,,,,,,0,0,-0.719,-19.7,3.65,4.369,23/11/2011,05:40:02
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,503,Production System Update FY11 Q4 close out EA,,,,,,,0,0,0.026,2.18,1.19,1.164,23/11/2011,05:40:02
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,504,Ammonium Nitrate DME,,,,,,,0,0,0,0,5.336,5.336,29/02/2012,05:17:02
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,505,Case Management DME,,,,,,,0,0,0.681,11.22,6.072,5.391,27/07/2012,04:37:28
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,506,Chemical Security Assessment Tool DME,,,,,,,0,0,-0.161,-1.59,10.14,10.301,27/07/2012,04:37:28
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,507,Develop staging environment for Development & Testing,,,,,,,0,0,0,0,3.805,3.805,27/07/2012,04:37:28
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,508,Production Environment Migration to DHS DC,,,,,,,0,0,0,0,2.75,2.75,29/02/2012,05:17:03
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,509,Maintenance Support FY11 Q4 close out,,,,,,,0,0,0.074,1.01,7.305,7.231,29/02/2012,05:17:03
024-000009520,146,Department of Homeland Security(24),NPPD - ISCP (Infrastructure Security Compliance) - CSAT,510,Maintenance Support,,,,,,,0,0,-0.394,-1.18,33.347,33.741,31/05/2012,08:06:38
024-000009530,150,Department of Homeland Security(24),NPPD - FPS Risk Assessment and Management Program,201,RAMP Maintenance Support,,,,,,,0,0,1.174,34.23,3.43,2.256,19/08/2012,10:05:47
024-000009530,150,Department of Homeland Security(24),NPPD - FPS Risk Assessment and Management Program,202,FPS Modified Infrastructure Survey Tool (MIST) Development,,,,,,,0,0,0.188,7.52,2.5,2.312,31/05/2012,12:19:21
024-000009530,150,Department of Homeland Security(24),NPPD - FPS Risk Assessment and Management Program,203,FPS Gateway Development and Deployment,,,,,,,0,0,0.031,0.93,3.35,3.319,31/05/2012,12:19:21
024-000009530,150,Department of Homeland Security(24),NPPD - FPS Risk Assessment and Management Program,204,Follow-on Assessment Tool Development and Deployment,,,,,,,0,0,0,0,6.3,6.3,28/02/2012,09:57:38
024-000009560,151,Department of Homeland Security(24),NPPD - US-VISIT - Automated Biometric Identification System (IDENT),5,IDENT FY 2011,,,,,,,-336,-157.75,0,0,14.56,14.56,28/02/2012,05:17:47
024-000009560,151,Department of Homeland Security(24),NPPD - US-VISIT - Automated Biometric Identification System (IDENT),6,IDENT FY 2012,,,,,,,0,0,0,0,18.677,18.677,29/06/2012,03:55:41
024-000009560,151,Department of Homeland Security(24),NPPD - US-VISIT - Automated Biometric Identification System (IDENT),7,IDENT FY 2013,,,,,,,0,0,0,0,25.844,25.844,27/10/2011,04:36:49
024-000009561,152,Department of Homeland Security(24),NPPD - US-VISIT - Arrival and Departure Information System (ADIS),52,ADIS FY11 Maintenance Release Project,,,,,,,-93,-29.62,0,0,1.98,1.98,28/02/2012,05:17:24
024-000009561,152,Department of Homeland Security(24),NPPD - US-VISIT - Arrival and Departure Information System (ADIS),53,ADIS FY12 Maintenance Release Project,,,,,,,-61,-20.07,0,0,5.2,5.2,27/06/2012,04:18:42
024-000009561,152,Department of Homeland Security(24),NPPD - US-VISIT - Arrival and Departure Information System (ADIS),54,ADIS FY13 Maintenance Release Project,,,,,,,0,0,0,0,2,2,26/10/2011,12:54:41
024-000000591,154,Department of Homeland Security(24),DHS - Infrastructure Transformation Program (ITP),496, Data Center,,,,,,,0,0,0,0,161.9,161.9,30/04/2012,04:42:58
024-000000591,154,Department of Homeland Security(24),DHS - Infrastructure Transformation Program (ITP),497,Network,,,,,,,-184,-28.84,0,0,21.61,21.61,29/06/2012,07:12:50
024-000000591,154,Department of Homeland Security(24),DHS - Infrastructure Transformation Program (ITP),498,Email,,,,,,,0,0,0,0,2.14,2.14,29/05/2012,04:22:31
024-000000591,154,Department of Homeland Security(24),DHS - Infrastructure Transformation Program (ITP),499,Wireless,,,,,,,0,0,0,0,3.2,3.2,30/04/2012,04:42:58
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,293,EmpowHR Deployment,,,,,,,-1,-0.27,0,0,0.404,0.404,31/05/2012,12:19:21
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,294,Reporting Tool Development,,,,,,,-48,-6.58,0,0,1.793,1.793,28/02/2012,05:20:17
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,295,PAS,,,,,,,0,0,0,0,0.902,0.902,29/06/2012,13:29:16
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,296,HQ Survey Tool,,,,,,,-86,-23.56,0,0,0.029,0.029,30/04/2012,04:43:00
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,297,NFC VPN,,,,,,,0,0,0,0,0.179,0.179,28/02/2012,05:20:17
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,298,Balanced Workforce Survey Tool,,,,,,,0,0,0,0,1.186,1.186,28/02/2012,05:20:17
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,299,USAJOBS 3.0,,,,,,,0,0,-0.183,-7.12,2.571,2.754,30/04/2012,04:43:00
024-000001226,155,Department of Homeland Security(24),DHS - HR IT,300,Human Capital Segment Architecture,,,,,,,0,0,-0.255,-17.48,1.459,1.714,31/01/2012,13:53:42
024-000001110,157,Department of Homeland Security(24),DHS - Homeland Secure Data Network (HSDN),380,State and Local Fusion Center Build Out or Relocation,,,,,,,-1,-0.18,0.24,7.45,3.22,2.98,23/08/2012,04:14:05
024-000001110,157,Department of Homeland Security(24),DHS - Homeland Secure Data Network (HSDN),381,HSDN Enhancements,,,,,,,0,0,0.884,49.11,1.8,0.916,23/08/2012,04:14:05
024-000007127,161,Department of Homeland Security(24),FEMA - NFIP Information Technology Systems & Services,468,SAR Remediation,,,,,,,-90,-22.5,0,0,2.092,2.092,20/06/2012,04:10:08
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,469,Disaster Management PMO,,,,,,,0,0,0,0,3.8,3.8,29/02/2012,13:00:39
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,470,FEMA.gov migration to Drupal Content Management System,,,,,,,0,0,0,0,4.7,4.7,31/07/2012,10:39:36
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,471,Text Messaging and Mobile Platform,,,,,,,0,0,0,0,1.5,1.5,29/02/2012,13:00:39
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,472,RightNow CRM Integration,,,,,,,0,0,0,0,1.5,1.5,29/02/2012,13:00:39
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,473,Web Usability and Disaster Survivor Studies,,,,,,,0,0,0,0,1,1,29/02/2012,13:00:40
024-999990130,165,Department of Homeland Security(24),FEMA - Disaster Management E-Government Initiative,2986,DHS Enterprise Hosting and Environment,,,,,,,0,0,0,0,2.69,2.69,29/02/2012,13:00:39
024-999994100,166,Department of Homeland Security(24),FEMA - Disaster Assistance Improvement Plan (DAIP),3149,"Development, Partner Interfaces and  Functional Enhancements",,,,,,,0,0,-0.003,-0.35,0.849,0.852,21/08/2012,04:12:18
024-999994100,166,Department of Homeland Security(24),FEMA - Disaster Assistance Improvement Plan (DAIP),3151,Sustainment and Releases,,,,,,,0,0,-0.037,-20.44,0.181,0.218,21/08/2012,04:12:18
024-999994100,166,Department of Homeland Security(24),FEMA - Disaster Assistance Improvement Plan (DAIP),3153,Content Management and Hosting,,,,,,,0,0,0.153,5.1,3.002,2.849,26/06/2012,04:16:41
024-999994100,166,Department of Homeland Security(24),FEMA - Disaster Assistance Improvement Plan (DAIP),3155,Operations and Maintenance Support,,,,,,,0,0,0,0,14.855,14.855,26/06/2012,04:16:41
024-000007001,167,Department of Homeland Security(24),FEMA - Integrated Public Alert & Warning System (IPAWS),154,EAS PEP Expansion,,,,,,,0,0,0,0,30.168,30.168,25/05/2012,03:36:01
024-000007001,167,Department of Homeland Security(24),FEMA - Integrated Public Alert & Warning System (IPAWS),155,EAS PEP Site Modernization,,,,,,,0,0,0,0,7.843,7.843,25/04/2012,04:14:02
024-000007001,167,Department of Homeland Security(24),FEMA - Integrated Public Alert & Warning System (IPAWS),156,IPAWS-OPEN Sustainment and Enhancement,,,,,,,0,0,0,0,1.4,1.4,26/06/2012,04:16:44
024-000007001,167,Department of Homeland Security(24),FEMA - Integrated Public Alert & Warning System (IPAWS),2962,EAS PEP Operation and Maintenance,,,,,,,0,0,0,0,3.696,3.696,29/03/2012,08:25:07
024-000007333,168,Department of Homeland Security(24),FEMA - Logistics Supply Chain Management (LSCMS),301,Acquire IOC,,,,,,,0,0,0,0,2.159,2.159,29/05/2012,04:22:06
024-000007333,168,Department of Homeland Security(24),FEMA - Logistics Supply Chain Management (LSCMS),302,COTS Upgrade,,,,,,,-30,-4.27,0,0,29.199,29.199,21/08/2012,04:12:28
024-000007333,168,Department of Homeland Security(24),FEMA - Logistics Supply Chain Management (LSCMS),303,SOA GSS Integration,,,,,,,-62,-15.7,0,0,0.631,0.631,21/08/2012,04:12:28
024-000007333,168,Department of Homeland Security(24),FEMA - Logistics Supply Chain Management (LSCMS),304,Data Center Migration,,,,,,,-30,-4.48,0.114,3.39,3.36,3.246,21/08/2012,04:12:28
024-000005606,169,Department of Homeland Security(24),TSA - TSA Operating Platform (TOP),247,Enterprise Applications,,,,,,,-38,-9.77,0,0,0.234,0.234,30/03/2012,03:10:22
024-000005606,169,Department of Homeland Security(24),TSA - TSA Operating Platform (TOP),248,Applications Development,,,,,,,-31,-5.98,0,0,2.206,2.206,26/06/2012,04:16:24
024-000005628,170,Department of Homeland Security(24),TSA - Transportation Worker Identification Credential (TWIC),28,4th Qtr TWIC Maintenance,,,,,,,0,0,0,0,1.8,1.8,27/10/2011,04:36:44
024-000005628,170,Department of Homeland Security(24),TSA - Transportation Worker Identification Credential (TWIC),29,Consolidated Service Contracts Transition,,,,,,,0,0,0,0,5,5,30/07/2012,05:04:20
024-000005628,170,Department of Homeland Security(24),TSA - Transportation Worker Identification Credential (TWIC),30,2012 TWIC Maintenance,,,,,,,0,0,0,0,20,20,30/07/2012,05:04:20
024-000005628,170,Department of Homeland Security(24),TSA - Transportation Worker Identification Credential (TWIC),31,TWIC Reader Qualification,,,,,,,0,0,0,0,1.2,1.2,30/07/2012,05:04:20
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),372,TSE Data Management (TDM) FY2011,,,,,,,-4,-3.28,0,0,3.69,3.69,30/07/2012,11:18:43
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),373,TSE Data Management (TDM) FY2012,,,,,,,0,0,0,0,1.32,1.32,30/07/2012,11:18:43
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),374,Remote Monitoring and Maintenance /Maintenance Ticket Application (RMM/MTA) FY2011,,,,,,,-11,-4.89,0,0,0.621,0.621,30/07/2012,11:18:43
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),375,Remote Monitoring and Maintenance /Maintenance Ticket Application (RMM/MTA) FY2012,,,,,,,-9,-4.43,0,0,2.308,2.308,30/07/2012,11:18:43
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),376,Security Equipment Modernization (SEM) FY2011,,,,,,,0,0,0,0,2.99,2.99,30/07/2012,11:18:43
024-000005624,171,Department of Homeland Security(24),TSA - Security Technology Integrated Program (STIP),377,Security Equipment Modernization (SEM) FY2012,,,,,,,0,0,0,0,5.374,5.374,30/07/2012,11:18:43
024-000005605,172,Department of Homeland Security(24),TSA - Secure Flight,367,Functional Releases,,,,,,,7,1.23,-0.069,-1.02,6.768,6.837,22/08/2012,04:14:15
024-000005605,172,Department of Homeland Security(24),TSA - Secure Flight,368,SFUI Releases,,,,,,,-105,-38.18,0.432,12.05,3.586,3.154,22/08/2012,04:14:15
024-000005605,172,Department of Homeland Security(24),TSA - Secure Flight,369,RMS Releases,,,,,,,-38,-6.88,0.335,8.88,3.773,3.438,22/08/2012,04:14:15
024-000005605,172,Department of Homeland Security(24),TSA - Secure Flight,370,Maintenance Releases BY 11 Q4,,,,,,,0,0,0,0,0.204,0.204,27/10/2011,04:36:34
024-000005605,172,Department of Homeland Security(24),TSA - Secure Flight,371,Maintenance Releases BY 12,,,,,,,0,0,0,0,2.448,2.448,22/08/2012,04:14:15
024-000005664,173,Department of Homeland Security(24),TSA - Technology Infrastructure Modernization (TIM) Program,8,SOA Foundation,,,,,,,-314,-85.79,0,0,16,16,29/05/2012,04:23:28
024-000005664,173,Department of Homeland Security(24),TSA - Technology Infrastructure Modernization (TIM) Program,9,SOA Platform,,,,,,,-255,-69.86,0,0,16,16,29/05/2012,04:23:28
024-000005666,174,Department of Homeland Security(24),TSA - Information Technology Infrastructure Program (ITIP),519,TSA Enterprise Integrated Test Environment,,,,,,,0,0,0.1,1.64,6.09,5.99,31/01/2012,11:45:57
024-000005666,174,Department of Homeland Security(24),TSA - Information Technology Infrastructure Program (ITIP),521,TSA Enterprise Desktop Refresh,,,,,,,0,0,0,0,50.04,50.04,30/03/2012,03:10:23
024-000005666,174,Department of Homeland Security(24),TSA - Information Technology Infrastructure Program (ITIP),522,TSA Enterprise Secure Mobile Computing,,,,,,,0,0,0.035,0.88,3.974,3.939,29/05/2012,04:22:32
024-000005666,174,Department of Homeland Security(24),TSA - Information Technology Infrastructure Program (ITIP),523,TSA Enterprise IT Network Switches,,,,,,,0,0,0,0,12,12,26/02/2012,07:26:16
